basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mc_rmse,mae,rmse_ratio_vs_mc,effective_mc_multiplier
spd,embedding_comp,256,12,12,0.0059,0.005672140453655923,0.004697319575876935,0.002676898907164003,1.2075270507003988,0.6858138683146314
spd,per_query_rf,512,12,12,0.0059,0.001544822860215448,0.0029664424359069847,0.0012037224123288203,0.5207661680928999,3.687350960044413
spd,pca_comp,512,12,12,0.0059,0.001829960325122997,0.0029664424359069847,0.0013350107773370719,0.6168871854624375,2.6277769718529727
spd,output_comp,512,12,12,0.0059,0.002478150438733721,0.0029664424359069847,0.0016553891171789863,0.835394750539304,1.432902090137456
spd,input_concept_comp,512,12,12,0.0059,0.002503310021690349,0.0029664424359069847,0.0018310675984894243,0.8438761498923091,1.4042439919920555
spd,random_comp,512,12,12,0.0059,0.00265163312266136,0.0029664424359069847,0.0020433622163932587,0.8938764799764697,1.2515407069108089
spd,internal,512,12,12,0.0059,0.002702684474538727,0.0029664424359069847,0.0019414298398182648,0.9110861015957606,1.204706231364183
spd,mc,512,12,12,0.0059,0.0029664424359069847,0.0029664424359069847,0.002292795138888862,1.0,1.0
spd,embedding_comp,512,12,12,0.0059,0.00306041874450861,0.0029664424359069847,0.0018504674682242336,1.03167980186101,0.9395289007103
spd,output_active,512,12,12,0.0059,0.003062037112531632,0.0029664424359069847,0.0018981377974794194,1.0322253604073122,0.9385360311528911
spd,random_stratified,512,12,12,0.0059,0.0034707269844433523,0.0029664424359069847,0.0026817763646558163,1.1699964045930267,0.7305180407795722
spd,embedding_ase,512,12,12,0.0059,0.004802236348212389,0.0029664424359069847,0.003065749556492889,1.6188537118011237,0.3815792844326863
spd,ase_output,512,12,12,0.0059,0.006761006558959505,0.0029664424359069847,0.003307544392125307,2.279163241842021,0.19250815686504036
spd,per_query_rf,1024,12,12,0.0059,0.0013313405939378983,0.0023144039041394543,0.0009537722229403869,0.5752412496179744,3.022038256943571
spd,output_comp,1024,12,12,0.0059,0.00148764863450387,0.0023144039041394543,0.0010829738675892403,0.6427783118768157,2.420346644731868
spd,input_concept_comp,1024,12,12,0.0059,0.0016859293488492978,0.0023144039041394543,0.0012187212912179678,0.7284507884876573,1.8845148521868138
spd,pca_comp,1024,12,12,0.0059,0.0018170182501471793,0.0023144039041394543,0.001276454450963451,0.785091248289605,1.6224066871842175
spd,output_active,1024,12,12,0.0059,0.0018818780972233628,0.0023144039041394543,0.0013673273542631032,0.8131156769384582,1.512499818612447
spd,internal,1024,12,12,0.0059,0.0019470004582830323,0.0023144039041394543,0.0013614298968921466,0.8412535317628448,1.4130131351638209
spd,random_comp,1024,12,12,0.0059,0.002167975168117075,0.0023144039041394543,0.0015738351347604777,0.9367315550408108,1.1396452887334008
spd,mc,1024,12,12,0.0059,0.0023144039041394543,0.0023144039041394543,0.0016758101851851602,1.0,1.0
